class,count,label
miR-169,269,0
miR-2,181,1
miR-482,166,2
let-7,161,3
miR-395,148,4
miR-92,142,5
miR-34,124,6
miR-2285,118,7
miR-10,116,8
miR-29,116,9
miR-156,113,10
miR-548,113,11
miR-399,112,12
miR-9,110,13
miR-171,110,14
miR-30,109,15
miR-181,100,16
miR-477,99,17
miR-449,97,18
miR-1,95,19
miR-7,93,20
miR-35,93,21
miR-159,92,22
miR-15,83,23
miR-1421,80,24
miR-125,79,25
miR-396,77,26
miR-133,75,27
miR-146,75,28
miR-124,74,29
miR-166,71,30
miR-33,69,31
miR-31,68,32
miR-172,68,33
miR-190,67,34
miR-100,66,35
miR-130,66,36
miR-19,65,37
miR-27,63,38
miR-36,63,39
miR-279,63,40
miR-87,62,41
miR-219,62,42
miR-16,61,43
miR-193,61,44
miR-135,60,45
miR-7880,60,46
miR-167,59,47
miR-26,58,48
miR-252,58,49
miR-2111,58,50
miR-20,57,51
miR-200,56,52
miR-196,55,53
miR-397,55,54
miR-216,54,55
miR-319,54,56
miR-184,53,57
miR-7398,53,58
miR-18,52,59
miR-302,51,60
miR-210,50,61
miR-23,49,62
miR-71,48,63
miR-281,48,64
miR-24,47,65
miR-375,47,66
miR-530,46,67
miR-8364,46,68
miR-96,44,69
miR-148,44,70
miR-376,44,71
miR-3627,44,72
miR-22,43,73
miR-137,43,74
miR-160,43,75
miR-164,43,76
miR-222,42,77
miR-263,42,78
miR-277,42,79
miR-301,42,80
miR-153,41,81
miR-170,41,82
miR-509,41,83
miR-106,40,84
miR-398,40,85
miR-3851,40,86
miR-17,39,87
miR-13,38,88
miR-450,37,89
miR-2284,37,90
miR-8908,37,91
miR-99,36,92
miR-101,36,93
miR-205,36,94
miR-993,36,95
miR-2275,36,96
miR-378,35,97
miR-391,35,98
miR-466,35,99
miR-551,35,100
miR-7386,35,101
miR-40,34,102
miR-194,34,103
miR-1422,34,104
miR-21,33,105
miR-168,33,106
miR-430,33,107
miR-513,33,108
bantam,33,109
miR-199,31,110
miR-7371,31,111
miR-202,30,112
miR-278,30,113
miR-307,30,114
miR-669,30,115
miR-1175,30,116
miR-2118,30,117
miR-64,29,118
miR-84,29,119
miR-138,29,120
miR-203,29,121
miR-218,29,122
miR-425,29,123
miR-745,29,124
miR-139,28,125
miR-150,28,126
miR-165,28,127
miR-812,28,128
miR-8,27,129
miR-12,27,130
miR-122,27,131
miR-128,27,132
miR-129,27,133
miR-183,27,134
miR-338,27,135
miR-1677,27,136
miR-63,26,137
miR-144,26,138
miR-147,26,139
miR-182,26,140
miR-215,26,141
miR-1388,26,142
miR-5675,26,143
miR-25,25,144
miR-157,25,145
miR-192,25,146
miR-393,25,147
miR-1520,25,148
miR-7262,25,149
miR-103,24,150
miR-126,24,151
miR-142,24,152
miR-208,24,153
miR-221,24,154
miR-344,24,155
miR-529,24,156
miR-664,24,157
miR-61,23,158
miR-76,23,159
miR-204,23,160
miR-317,23,161
miR-345,23,162
miR-429,23,163
miR-455,23,164
miR-507,23,165
miR-518,23,166
miR-535,23,167
miR-875,23,168
miR-11,22,169
miR-43,22,170
miR-81,22,171
miR-132,22,172
miR-155,22,173
miR-212,22,174
miR-276,22,175
miR-365,22,176
miR-408,22,177
miR-520,22,178
miR-750,22,179
miR-5303,22,180
miR-9666,22,181
miR-28,21,182
miR-32,21,183
miR-152,21,184
miR-187,21,185
miR-282,21,186
miR-309,21,187
miR-374,21,188
miR-394,21,189
miR-454,21,190
miR-460,21,191
miR-489,21,192
miR-499,21,193
miR-7385,21,194
miR-67,20,195
miR-93,20,196
miR-105,20,197
miR-283,20,198
miR-497,20,199
miR-500,20,200
miR-981,20,201
miR-1516,20,202
miR-2238,20,203
miR-3836,20,204
miR-4000,20,205
miR-79,19,206
miR-145,19,207
miR-158,19,208
miR-217,19,209
miR-306,19,210
miR-329,19,211
miR-503,19,212
miR-508,19,213
miR-1329,19,214
miR-4001,19,215
miR-191,18,216
miR-223,18,217
miR-239,18,218
miR-305,18,219
miR-316,18,220
miR-451,18,221
miR-458,18,222
miR-519,18,223
miR-827,18,224
miR-927,18,225
miR-965,18,226
miR-980,18,227
miR-1271,18,228
miR-1545,18,229
miR-1788,18,230
miR-2592,18,231
lin-4,18,232
miR-141,17,233
miR-154,17,234
miR-224,17,235
miR-315,17,236
miR-371,17,237
miR-383,17,238
miR-403,17,239
miR-485,17,240
miR-502,17,241
miR-506,17,242
miR-1419,17,243
miR-1432,17,244
miR-2188,17,245
miR-2498,17,246
miR-2733,17,247
miR-2944,17,248
miR-10454,17,249
miR-107,16,250
miR-140,16,251
miR-206,16,252
miR-214,16,253
miR-242,16,254
miR-296,16,255
miR-299,16,256
miR-311,16,257
miR-320,16,258
miR-323,16,259
miR-337,16,260
miR-339,16,261
miR-342,16,262
miR-363,16,263
miR-390,16,264
miR-472,16,265
miR-504,16,266
miR-676,16,267
miR-873,16,268
miR-4006,16,269
miR-7939,16,270
miR-9186,16,271
miR-9771,16,272
miR-14,15,273
miR-54,15,274
miR-58,15,275
miR-60,15,276
miR-98,15,277
miR-235,15,278
miR-412,15,279
miR-487,15,280
miR-493,15,281
miR-501,15,282
miR-653,15,283
miR-802,15,284
miR-902,15,285
miR-1306,15,286
miR-1343,15,287
miR-1446,15,288
miR-2970,15,289
miR-7132,15,290
miR-9654,15,291
miR-10043,15,292
miR-6,14,293
miR-37,14,294
miR-55,14,295
miR-143,14,296
miR-151,14,297
miR-234,14,298
miR-310,14,299
miR-380,14,300
miR-381,14,301
miR-437,14,302
miR-467,14,303
miR-514,14,304
miR-541,14,305
miR-582,14,306
miR-670,14,307
miR-737,14,308
miR-929,14,309
miR-978,14,310
miR-1122,14,311
miR-1193,14,312
miR-1420,14,313
miR-1544,14,314
miR-2184,14,315
miR-3479,14,316
miR-6151,14,317
miR-12297,14,318
miR-42,13,319
miR-74,13,320
miR-195,13,321
miR-275,13,322
miR-308,13,323
miR-409,13,324
miR-411,13,325
miR-414,13,326
miR-486,13,327
miR-505,13,328
miR-536,13,329
miR-599,13,330
miR-652,13,331
miR-654,13,332
miR-665,13,333
miR-845,13,334
miR-876,13,335
miR-932,13,336
miR-983,13,337
miR-995,13,338
miR-996,13,339
miR-1185,13,340
miR-1861,13,341
miR-1992,13,342
miR-2024,13,343
miR-2114,13,344
miR-2235,13,345
miR-3064,13,346
miR-5225,13,347
miR-10031,13,348
miR-10227,13,349
miR-11619,13,350
miR-4,12,351
miR-39,12,352
miR-50,12,353
miR-83,12,354
miR-86,12,355
miR-127,12,356
miR-134,12,357
miR-186,12,358
miR-236,12,359
miR-240,12,360
miR-250,12,361
miR-274,12,362
