tree_id	leaves_num	depth	nodes_num	root	feature_importance	class_current_depth	L	feature_importance	class_current_depth	R	feature_importance	class_current_depth	L_L	feature_importance	class_current_depth	L_R	feature_importance	class_current_depth	R_L	feature_importance	class_current_depth	R_R	feature_importance	class_current_depth	L_L_L	feature_importance	class_current_depth	L_L_R	feature_importance	class_current_depth	L_R_L	feature_importance	class_current_depth	L_R_R	feature_importance	class_current_depth	R_L_L	feature_importance	class_current_depth	R_L_R	feature_importance	class_current_depth	R_R_L	feature_importance	class_current_depth	R_R_R	feature_importance	class_current_depth
1	8291	30	16581	22_U<=0.5	0.4991465738669318	Animal	23_U<=0.5	0.5489483052307221	Plant	20_C<=0.5	0.17774209486166007	Animal	22_C<=0.5	0.5661410688493019	Plant	20_U<=0.5	0.19200333194502292	Animal	13_G<=0.5	0.1575926787653172	Animal	1_A<=0.5	0.25651910248635534	Animal	19_C<=0.5	0.5933881711296884	Plant	9_G<=0.5	0.3275929549902153	Animal	5_U<=0.5	0.21275327771156138	Animal	1_U<=0.5	0.14384508990318118	Animal	19_C<=0.5	0.1382010582010582	Animal	12_U<=0.5	0.21080139372822299	Animal	18_C<=0.5	0.28152969894222946	Animal	24_A<=0.5	0.18333333333333332	Animal
2	8412	30	16823	14_A<=0.5	0.49936200182285195	Animal	22_A<=0.5	0.5105658248719951	Plant	16_U<=0.5	0.4631305690030169	Animal	23_U<=0.5	0.5392734650499976	Plant	21_A<=0.5	0.2571428571428571	Animal	7_U<=0.5	0.5075742862691784	Plant	25_A<=0.5	0.3474083438685209	Animal	4_A<=0.5	0.5582415909898026	Plant	25_A<=0.5	0.16161616161616163	Animal	1_A<=0.5	0.24007038712921067	Animal	23_C<=0.5	0.35252808988764045	Animal	23_G<=0.5	0.44400219599231405	Animal	12_G<=0.5	0.6613545816733067	Plant	11_A<=0.5	0.34347826086956523	Animal	6_U<=0.5	0.6888888888888889	Plant
3	8272	30	16543	22_U<=0.5	0.49995857154693846	Animal	19_C<=0.5	0.5502176706365188	Plant	9_U<=0.5	0.18044379419653744	Animal	20_C<=0.5	0.4748859765602448	Animal	12_G<=0.5	0.6993314667733272	Plant	10_U<=0.5	0.21462308709616473	Animal	5_A<=0.5	0.11825369542798213	Animal	22_C<=0.5	0.4251977848101266	Animal	14_G<=0.5	0.609057893612476	Plant	22_C<=0.5	0.6481414975758664	Plant	8_C<=0.5	0.7889360364607889	Plant	11_U<=0.5	0.23366701791359326	Animal	7_C<=0.5	0.16633266533066132	Animal	19_G<=0.5	0.1411530815109344	Animal	10_C<=0.5	0.06688963210702341	Animal
4	8465	30	16929	19_C<=0.5	0.49931228767917807	Animal	20_G<=0.5	0.42711615976548184	Animal	23_C<=0.5	0.6515713549716641	Plant	8_G<=0.5	0.4620805369127517	Animal	22_G<=0.5	0.33354288280197575	Animal	4_C<=0.5	0.6630982034024061	Plant	24_G<=0.5	0.24953789279112754	Animal	1_A<=0.5	0.41164813919768006	Animal	15_C<=0.5	0.5766190998902305	Plant	4_G<=0.5	0.3744967903383745	Animal	15_G<=0.5	0.13991769547325103	Animal	4_U<=0.5	0.6324438413990653	Plant	2_C<=0.5	0.7356773157237194	Plant	26_A<=0.5	0.1891891891891892	Animal	20_U<=0.5	0.7333333333333333	Plant
5	8510	30	17019	22_C<=0.5	0.4947717292236308	Animal	3_U<=0.5	0.5168328833544548	Plant	18_G<=0.5	0.2911156324177687	Animal	18_C<=0.5	0.5361293000092225	Plant	6_C<=0.5	0.44126410835214447	Animal	9_A<=0.5	0.2666360715924736	Animal	14_C<=0.5	0.36038961038961037	Animal	19_C<=0.5	0.4893752995686212	Animal	21_U<=0.5	0.6572824376914796	Plant	2_U<=0.5	0.4730963247657939	Animal	7_C<=0.5	0.3448526736995271	Animal	6_C<=0.5	0.24370743263251407	Animal	21_C<=0.5	0.345565749235474	Animal	19_G<=0.5	0.31409727947238253	Animal	10_A<=0.5	0.5321100917431193	Plant
6	8386	30	16771	22_A<=0.5	0.4993454304416273	Animal	23_C<=0.5	0.5264705882352941	Plant	2_A<=0.5	0.2793962264150943	Animal	19_U<=0.5	0.5362856703330513	Plant	5_A<=0.5	0.229020979020979	Animal	19_C<=0.5	0.3197790055248619	Animal	9_U<=0.5	0.19238095238095237	Animal	19_C<=0.5	0.5816323981312614	Plant	6_U<=0.5	0.38473741337563666	Animal	4_C<=0.5	0.28079242032730406	Animal	3_U<=0.5	0.12072072072072072	Animal	10_C<=0.5	0.2767915844838922	Animal	1_C<=0.5	0.4079568442346595	Animal	6_C<=0.5	0.23175053153791636	Animal	23_C<=0.5	0.11175616835994194	Animal
7	8514	30	17027	9_U<=0.5	0.5018477090065457	Plant	22_U<=0.5	0.5502504480492625	Plant	14_G<=0.5	0.376627236521429	Animal	18_A<=0.5	0.5952250058902065	Plant	19_U<=0.5	0.2275032876197633	Animal	16_U<=0.5	0.3228258053372485	Animal	17_C<=0.5	0.4954233409610984	Animal	18_C<=0.5	0.612077822011044	Plant	22_A<=0.5	0.5207771947241526	Plant	1_A<=0.5	0.2606464853771165	Animal	12_U<=0.5	0.1368421052631579	Animal	2_U<=0.5	0.3457829854754058	Animal	8_C<=0.5	0.26727702303603074	Animal	25_C<=0.5	0.5497250229147571	Plant	15_G<=0.5	0.22613636363636364	Animal
8	8492	30	16983	1_A<=0.5	0.5009031402767421	Plant	23_U<=0.5	0.5322513001174299	Plant	22_G<=0.5	0.38279213083669117	Animal	22_U<=0.5	0.5500769399868103	Plant	1_G<=0.5	0.16333030027297543	Animal	8_G<=0.5	0.4232230562505792	Animal	10_G<=0.5	0.1489817792068596	Animal	20_C<=0.5	0.5961980990495248	Plant	24_G<=0.5	0.21542649727767696	Animal	5_C<=0.5	0.13304721030042918	Animal	18_U<=0.5	0.3323353293413174	Animal	20_A<=0.5	0.37971668547072834	Animal	21_G<=0.5	0.5465529495380241	Plant	10_U<=0.5	0.12779783393501806	Animal	11_A<=0.5	0.20997920997921	Animal
9	8500	30	16999	9_G<=0.5	0.5020465655812412	Plant	22_G<=0.5	0.46540347339962423	Animal	22_U<=0.5	0.597820228756213	Plant	23_U<=0.5	0.5070167977886455	Plant	5_C<=0.5	0.20541348389239455	Animal	14_G<=0.5	0.6376472162740899	Plant	8_A<=0.5	0.2586894586894587	Animal	14_U<=0.5	0.5220682007208206	Plant	20_U<=0.5	0.15765765765765766	Animal	9_A<=0.5	0.1749641466912518	Animal	23_A<=0.5	0.33567046450482035	Animal	20_G<=0.5	0.6833277140930546	Plant	17_C<=0.5	0.4616883116883117	Animal	7_U<=0.5	0.21335379892555642	Animal	4_A<=0.5	0.3893805309734513	Animal
10	8193	30	16385	23_U<=0.5	0.49767172093794015	Animal	23_G<=0.5	0.5157870799587174	Plant	9_U<=0.5	0.17180616740088106	Animal	22_U<=0.5	0.5305018734887499	Plant	18_C<=0.5	0.2491638795986622	Animal	11_C<=0.5	0.20684736091298145	Animal	18_U<=0.5	0.10325581395348837	Animal	6_A<=0.5	0.5792579215925078	Plant	20_C<=0.5	0.1762282575526396	Animal	22_A<=0.5	0.21425448185395715	Animal	25_U<=0.5	0.3627311522048364	Animal	15_C<=0.5	0.1710843373493976	Animal	1_G<=0.5	0.34085778781038373	Animal	6_U<=0.5	0.12885906040268458	Animal	7_A<=0.5	0.045454545454545456	Animal
