name,class,label,count
miR-1-5p,miR-1,19,95
miR-1-3p,miR-1,19,95
miR-1-5p,miR-1,19,95
miR-1-3p,miR-1,19,95
miR-1a-1-5p,miR-1,19,95
miR-1a-3p,miR-1,19,95
miR-1-5p,miR-1,19,95
miR-1a-2-5p,miR-1,19,95
miR-1b-5p,miR-1,19,95
miR-1b-3p,miR-1,19,95
miR-1-5p,miR-1,19,95
miR-1-3p,miR-1,19,95
miR-1a-5p,miR-1,19,95
miR-1a-5p,miR-1,19,95
miR-1a-3p,miR-1,19,95
miR-1b-5p,miR-1,19,95
miR-1b-3p,miR-1,19,95
miR-1c-5p,miR-1,19,95
miR-1c-3p,miR-1,19,95
miR-1b-5p,miR-1,19,95
miR-1b-3p,miR-1,19,95
miR-1b,miR-1,19,95
miR-1a,miR-1,19,95
miR-1b,miR-1,19,95
miR-1c,miR-1,19,95
miR-1c,miR-1,19,95
miR-1-5p,miR-1,19,95
miR-1-5p,miR-1,19,95
miR-1-5p,miR-1,19,95
miR-1,miR-1,19,95
miR-1-5p,miR-1,19,95
miR-1-3p,miR-1,19,95
miR-1-5p,miR-1,19,95
miR-1-3p,miR-1,19,95
miR-1b-5p,miR-1,19,95
miR-1b-3p,miR-1,19,95
miR-1-2-5p,miR-1,19,95
miR-1,miR-1,19,95
miR-1-5p,miR-1,19,95
miR-1-3p,miR-1,19,95
miR-1a-5p,miR-1,19,95
miR-1a-3p,miR-1,19,95
miR-1b,miR-1,19,95
miR-1c-5p,miR-1,19,95
miR-1c-3p,miR-1,19,95
miR-1d,miR-1,19,95
miR-1-5p,miR-1,19,95
miR-1-5p,miR-1,19,95
miR-1a-2-5p,miR-1,19,95
miR-1b-5p,miR-1,19,95
miR-1-5p,miR-1,19,95
miR-1-2-5p,miR-1,19,95
miR-1-5p,miR-1,19,95
miR-1-3-5p,miR-1,19,95
miR-1-5p,miR-1,19,95
miR-1-3p,miR-1,19,95
miR-1a-5p,miR-1,19,95
miR-1b-5p,miR-1,19,95
miR-1b-3p,miR-1,19,95
miR-1-5p,miR-1,19,95
miR-1b-5p,miR-1,19,95
miR-1b-3p,miR-1,19,95
miR-1a-5p,miR-1,19,95
miR-1b-5p,miR-1,19,95
miR-1b-5p,miR-1,19,95
miR-1b-3p,miR-1,19,95
miR-1a-5p,miR-1,19,95
miR-1b-5p,miR-1,19,95
miR-1c-5p,miR-1,19,95
miR-1c-3p,miR-1,19,95
miR-1b-3p,miR-1,19,95
miR-1-5p,miR-1,19,95
miR-P1-5p,miR-1,19,95
miR-P1-3p,miR-1,19,95
miR-P1-3p,miR-1,19,95
miR-1-2-5p,miR-1,19,95
miR-1,miR-1,19,95
miR-1b-5p,miR-1,19,95
miR-1b-3p,miR-1,19,95
miR-1-3p,miR-1,19,95
miR-1b-5p,miR-1,19,95
miR-1-5p,miR-1,19,95
Ach-miRN1,miR-1,19,95
Csi-miRN1a,miR-1,19,95
Csi-miRN1b,miR-1,19,95
Sol-miRN1,miR-1,19,95
Vco-miRN1,miR-1,19,95
Scu-miRN1,miR-1,19,95
Zju-miRN1,miR-1,19,95
Pca-miRN1,miR-1,19,95
Tca-miRN1,miR-1,19,95
Cca-miRN1,miR-1,19,95
Cca-miRN1,miR-1,19,95
Dca-miRN1,miR-1,19,95
sit-miR01-npr,miR-1,19,95
miR-2-5p,miR-2,1,181
miR-2-3p,miR-2,1,181
miR-2a-1-5p,miR-2,1,181
miR-2a-3p,miR-2,1,181
miR-2a-2-5p,miR-2,1,181
miR-2b-1-5p,miR-2,1,181
miR-2b-3p,miR-2,1,181
miR-2b-2-5p,miR-2,1,181
miR-2c-5p,miR-2,1,181
miR-2c-3p,miR-2,1,181
miR-2a-1-5p,miR-2,1,181
miR-2a-3p,miR-2,1,181
miR-2a-2-5p,miR-2,1,181
miR-2b-5p,miR-2,1,181
miR-2b-3p,miR-2,1,181
miR-2c-5p,miR-2,1,181
miR-2c-3p,miR-2,1,181
miR-2d-5p,miR-2,1,181
miR-2d-3p,miR-2,1,181
miR-2a-1-5p,miR-2,1,181
miR-2a-2-5p,miR-2,1,181
miR-2b-5p,miR-2,1,181
